Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,222.529999,223.000000,214.809998,217.690002,213.876358,37130100
2021-01-05,217.259995,218.520004,215.699997,217.899994,214.082672,23823000
2021-01-06,212.169998,216.490005,211.940002,212.250000,208.531647,35930700
2021-01-07,214.039993,219.339996,213.710007,218.289993,214.465866,27694500
2021-01-08,218.679993,220.580002,217.029999,219.619995,215.772552,22956200
2021-01-11,218.470001,218.910004,216.729996,217.490005,213.679871,23031300
2021-01-12,216.500000,217.100006,213.320007,214.929993,211.164719,23249300
2021-01-13,214.020004,216.759995,213.929993,216.339996,212.550049,20087100
2021-01-14,215.910004,217.460007,212.740005,213.020004,209.288177,29480800
2021-01-15,213.520004,214.509995,212.029999,212.649994,208.924667,31746500
2021-01-19,213.750000,216.979996,212.630005,216.440002,212.648270,30480900
2021-01-20,217.699997,225.789993,217.289993,224.339996,220.409866,37777300
2021-01-21,224.699997,226.300003,222.419998,224.970001,221.028809,30709400
2021-01-22,227.080002,230.070007,225.800003,225.949997,221.991638,30172700
2021-01-25,229.119995,229.779999,224.220001,229.529999,225.508957,33152100
2021-01-26,231.860001,234.179993,230.080002,232.330002,228.259888,49169600
2021-01-27,238.000000,240.440002,230.139999,232.899994,228.819885,69870600
2021-01-28,235.610001,242.639999,235.089996,238.929993,234.744263,49111200
2021-01-29,235.990005,238.020004,231.350006,231.960007,227.896393,42503100
2021-02-01,235.059998,242.500000,232.429993,239.649994,235.451645,33314200
2021-02-02,241.300003,242.309998,238.690002,239.509995,235.314117,25916300
2021-02-03,239.570007,245.089996,239.259995,243.000000,238.742981,27158100
2021-02-04,242.660004,243.240005,240.369995,242.009995,237.770325,25296100
2021-02-05,242.229996,243.279999,240.419998,242.199997,237.957001,18054800
2021-02-08,243.149994,243.679993,240.809998,242.470001,238.222275,22211900
2021-02-09,241.869995,244.759995,241.380005,243.770004,239.499496,23565000
2021-02-10,245.000000,245.919998,240.889999,242.820007,238.566147,22186700
2021-02-11,244.779999,245.149994,242.149994,244.490005,240.206894,15751100
2021-02-12,243.929993,245.300003,242.729996,244.990005,240.698135,16561100
2021-02-16,245.029999,246.130005,242.919998,243.699997,239.430679,26728500
2021-02-17,241.320007,244.309998,240.940002,244.199997,240.474548,21653500
2021-02-18,241.800003,243.929993,240.860001,243.789993,240.070770,16925600
2021-02-19,243.750000,243.860001,240.179993,240.970001,237.293808,25262600
2021-02-22,237.419998,237.929993,232.399994,234.509995,230.932373,36446900
2021-02-23,230.330002,234.830002,228.729996,233.270004,229.711258,30228700
2021-02-24,230.009995,235.199997,229.000000,234.550003,230.971756,26339700
2021-02-25,232.080002,234.589996,227.880005,228.990005,225.496582,39542200
2021-02-26,231.529999,235.369995,229.539993,232.380005,228.834839,37819200
2021-03-01,235.899994,237.470001,233.149994,236.940002,233.325302,25324000
2021-03-02,237.009995,237.300003,233.449997,233.869995,230.302124,22812500
2021-03-03,232.160004,233.580002,227.259995,227.559998,224.088394,34029500
2021-03-04,226.740005,232.490005,224.259995,226.729996,223.271027,44727800
2021-03-05,229.520004,233.270004,226.460007,231.600006,228.066757,41872800
2021-03-08,231.369995,233.369995,227.130005,227.389999,223.920975,35267400
2021-03-09,232.880005,235.380005,231.669998,233.779999,230.213501,33080500
2021-03-10,237.000000,237.000000,232.039993,232.419998,228.874252,29746800
2021-03-11,234.960007,239.169998,234.309998,237.130005,233.512390,29907600
2021-03-12,234.009995,235.820007,233.229996,235.750000,232.153442,22653700
2021-03-15,234.960007,235.190002,231.809998,234.809998,231.227768,26034900
2021-03-16,236.279999,240.059998,235.940002,237.710007,234.083557,28092200
2021-03-17,236.149994,238.550003,233.229996,237.039993,233.423752,29562100
2021-03-18,232.559998,234.190002,230.330002,230.720001,227.200195,34833000
2021-03-19,231.020004,232.470001,229.350006,230.350006,226.835831,46430700
2021-03-22,230.270004,236.899994,230.139999,235.990005,232.389786,30127000
2021-03-23,237.490005,241.050003,237.070007,237.580002,233.955536,31638400
2021-03-24,237.850006,238.000000,235.320007,235.460007,231.867889,25620100
2021-03-25,235.300003,236.940002,231.570007,232.339996,228.795471,34061900
2021-03-26,231.550003,236.710007,231.550003,236.479996,232.872299,25479900
2021-03-29,236.589996,236.800003,231.880005,235.240005,231.651215,25227500
2021-03-30,233.529999,233.850006,231.100006,231.850006,228.312958,24792000
2021-03-31,232.910004,239.100006,232.389999,235.770004,232.173141,43623500
2021-04-01,238.470001,242.839996,238.050003,242.350006,238.652756,30338000
2021-04-05,242.759995,249.960007,242.699997,249.070007,245.270248,36910600
2021-04-06,247.610001,249.399994,246.880005,247.860001,244.078720,22931900
2021-04-07,247.809998,250.929993,247.190002,249.899994,246.087585,22719800
2021-04-08,252.770004,254.139999,252.000000,253.250000,249.386475,23625200
2021-04-09,252.869995,255.990005,252.440002,255.850006,251.946808,24326800
2021-04-12,254.710007,257.670013,254.619995,255.910004,252.005905,27148700
2021-04-13,257.260010,259.190002,256.829987,258.489990,254.546539,23837500
2021-04-14,257.480011,258.829987,255.160004,255.589996,251.690765,23070900
2021-04-15,257.929993,259.929993,257.730011,259.500000,255.541138,25627500
2021-04-16,259.470001,261.000000,257.600006,260.739990,256.762207,24878600
2021-04-19,260.190002,261.480011,257.820007,258.739990,254.792694,23209300
2021-04-20,257.820007,260.200012,256.839996,258.260010,254.320038,19722900
2021-04-21,258.940002,260.679993,257.250000,260.579987,256.604645,24030400
2021-04-22,260.209991,261.779999,255.639999,257.170013,253.246674,25606200
2021-04-23,257.880005,261.510010,257.269989,261.149994,257.165894,21462600
2021-04-26,261.660004,262.440002,260.170013,261.549988,257.559875,19763300
2021-04-27,261.579987,263.190002,260.119995,261.970001,257.973419,31014200
2021-04-28,256.079987,256.540009,252.949997,254.559998,250.676453,46903100
2021-04-29,255.460007,256.100006,249.000000,252.509995,248.657745,40589000
2021-04-30,249.740005,253.080002,249.600006,252.179993,248.332779,30945100
2021-05-03,253.399994,254.350006,251.119995,251.860001,248.017670,19626600
2021-05-04,250.970001,251.210007,245.759995,247.789993,244.009735,32756100
2021-05-05,249.059998,249.500000,245.820007,246.470001,242.709900,21901300
2021-05-06,246.449997,249.860001,244.690002,249.729996,245.920166,26491100
2021-05-07,252.149994,254.300003,251.169998,252.460007,248.608505,27032900
2021-05-10,250.869995,251.729996,247.119995,247.179993,243.409042,29299900
2021-05-11,244.550003,246.600006,242.570007,246.229996,242.473557,33641600
2021-05-12,242.169998,244.380005,238.070007,239.000000,235.353867,36684400
2021-05-13,241.800003,245.600006,241.419998,243.029999,239.322372,29624300
2021-05-14,245.580002,249.179993,245.490005,248.149994,244.364258,23901100
2021-05-17,246.550003,246.589996,243.520004,245.179993,241.439575,24970200
2021-05-18,246.270004,246.410004,242.899994,243.080002,239.371628,20168000
2021-05-19,239.309998,243.229996,238.600006,243.119995,239.963821,25739800
2021-05-20,243.960007,247.949997,243.860001,246.479996,243.280212,21800700
2021-05-21,247.570007,248.330002,244.740005,245.169998,241.987213,21863100
2021-05-24,247.789993,251.160004,247.509995,250.779999,247.524384,21411500
2021-05-25,251.770004,252.750000,250.820007,251.720001,248.452179,17704300
2021-05-26,251.429993,252.940002,250.750000,251.490005,248.225189,17771600
2021-05-27,251.169998,251.479996,249.250000,249.309998,246.073456,24426200
2021-05-28,251.000000,252.080002,249.559998,249.679993,246.438660,18270200
2021-06-01,251.229996,251.289993,246.960007,247.399994,244.188278,23213300
2021-06-02,248.130005,249.270004,245.839996,247.300003,244.089569,19406700
