Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,87.876999,88.032501,85.392502,86.412003,86.412003,38038000
2021-01-05,86.250000,87.383499,85.900749,87.045998,87.045998,22906000
2021-01-06,85.131500,87.400002,84.949997,86.764503,86.764503,52042000
2021-01-07,87.002998,89.419998,86.852501,89.362503,89.362503,45300000
2021-01-08,89.399002,90.491997,88.676750,90.360497,90.360497,41012000
2021-01-11,89.303497,89.715752,88.026001,88.335999,88.335999,24194000
2021-01-12,87.695999,88.902000,86.265503,87.327499,87.327499,27140000
2021-01-13,86.929001,88.251747,86.900497,87.720001,87.720001,21882000
2021-01-14,87.681000,88.750504,86.669998,87.009003,87.009003,23590000
2021-01-15,86.909500,87.800003,86.077499,86.809502,86.809502,26844000
2021-01-19,87.612503,90.463753,87.072998,89.542999,89.542999,34692000
2021-01-20,91.572998,95.185501,91.276497,94.345001,94.345001,49806000
2021-01-21,94.900002,96.742996,94.355499,94.562500,94.562500,41278000
2021-01-22,94.783997,95.547501,94.087997,95.052498,95.052498,25442000
2021-01-25,96.033501,96.478996,93.376503,94.970001,94.970001,38546000
2021-01-26,94.442001,96.250000,94.212250,95.862000,95.862000,26262000
2021-01-27,94.126503,94.500000,90.449997,91.539497,91.539497,54966000
2021-01-28,92.196999,94.941498,92.132004,93.155502,93.155502,35462000
2021-01-29,92.308502,92.863998,90.510002,91.787003,91.787003,32252000
2021-02-01,92.678497,96.119598,92.546501,95.067497,95.067497,32044000
2021-02-02,96.127998,97.788002,95.724503,96.375504,96.375504,45474000
2021-02-03,103.650002,105.824997,100.918999,103.503502,103.503502,82364000
2021-02-04,103.444504,103.927498,102.129501,103.118500,103.118500,37046000
2021-02-05,103.500000,105.125504,102.966499,104.900002,104.900002,30702000
2021-02-08,105.295502,106.177353,103.599998,104.645500,104.645500,24838000
2021-02-09,103.927002,105.256500,103.927002,104.175499,104.175499,17798000
2021-02-10,104.710503,105.418503,103.154503,104.768997,104.768997,22710000
2021-02-11,104.975502,105.101501,103.865997,104.794502,104.794502,18914000
2021-02-12,104.512497,105.441002,104.156502,105.205498,105.205498,17114000
2021-02-16,105.218002,107.634003,105.218002,106.095001,106.095001,22676000
2021-02-17,105.000000,106.682999,104.945999,106.415497,106.415497,21418000
2021-02-18,105.519501,106.636749,105.185501,105.860001,105.860001,22432000
2021-02-19,105.963501,106.526497,104.870499,105.056999,105.056999,29148000
2021-02-22,103.349998,104.570999,103.107002,103.244003,103.244003,27350000
